Day Of Week,Start Time,End Time,Available,Time Zone,Resource Uri
2,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/797214fd-dc51-434c-84d9-f3f204ed74fa/services/a07914a3-03ee-4eb0-9402-4f82ce17e60d
3,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/797214fd-dc51-434c-84d9-f3f204ed74fa/services/a07914a3-03ee-4eb0-9402-4f82ce17e60d
4,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/797214fd-dc51-434c-84d9-f3f204ed74fa/services/a07914a3-03ee-4eb0-9402-4f82ce17e60d
5,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/797214fd-dc51-434c-84d9-f3f204ed74fa/services/a07914a3-03ee-4eb0-9402-4f82ce17e60d
6,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/797214fd-dc51-434c-84d9-f3f204ed74fa/services/a07914a3-03ee-4eb0-9402-4f82ce17e60d
7,11:00:00,18:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/6099b2b8-8c7a-4004-88e9-70091f1992bc/services/31a5fe39-ca2a-450a-98e7-9f2d0c95eda0
1,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/6099b2b8-8c7a-4004-88e9-70091f1992bc/services/31a5fe39-ca2a-450a-98e7-9f2d0c95eda0
2,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/6099b2b8-8c7a-4004-88e9-70091f1992bc/services/31a5fe39-ca2a-450a-98e7-9f2d0c95eda0
3,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/6099b2b8-8c7a-4004-88e9-70091f1992bc/services/31a5fe39-ca2a-450a-98e7-9f2d0c95eda0
4,10:00:00,19:00:00,true,America/Los_Angeles,/organizations/aa23f8e8-c46a-49ad-a279-7319766c6e3d/locations/6099b2b8-8c7a-4004-88e9-70091f1992bc/services/31a5fe39-ca2a-450a-98e7-9f2d0c95eda0
